lvl;cid;all;character_id;value_id;type;name;pos;count_chara;count_value;count_goods;count_sub;filter_status;filter_id;filter_name;filter_pos
;21;;137;615;value;75 см;;;;10;;;;;
;21;;137;632;value;0.6 м;;;;5;;;;;
;21;;137;1291;value;0.8 м;;;;10;;;;;
;21;;137;2646;value;1м;;;;5;;;;;
;21;;137;3354;value;1;;;;2;;;;;
;21;;137;3370;value;1,2;;;;8;;;;;
;21;;83;;character;Толщина пайола;;;7;120;;0;;;
;21;;83;128;value;12 мм;;;;15;;;;;
;21;;83;538;value;6 мм;;;;31;;;;;
;21;;83;153;value;9 мм;;;;41;;;;;
;21;;83;2175;value;9мм;;;;5;;;;;
;21;;83;3305;value;80мм;;;;5;;;;;
;21;;83;2570;value;9;;;;8;;;;;
;21;;83;2483;value;12мм;;;;15;;;;;
;21;;79;;character;Плотность ткани ПВХ на днище;;;4;120;;0;;;
;21;;79;157;value;900;;;;40;;;;;
;21;;79;380;value;750;;;;30;;;;;
;21;;79;191;value;850;;;;40;;;;;
;21;;79;476;value;1100;;;;10;;;;;
;21;;38;;character;Плотность ткани ПВХ на баллоне;;;4;120;;0;;;
;21;;38;156;value;900;;;;40;;;;;
;21;;38;379;value;750;;;;30;;;;;
;21;;38;190;value;850;;;;40;;;;;
;21;;38;41;value;1100;;;;10;;;;;
;21;;8;;character;Серия;;;4;130;;1;2;Серия;0
;21;;8;362;value;Средние моторные ЛН;;;;51;;;;;
;21;;8;589;value;Гребные ЛМ;;;;30;;;;;
;21;;8;617;value;Легкие моторные ЛМ;;;;34;;;;;
;21;;8;3382;value;Моторные Sport ЛС;;;;15;;;;;
;21;;187;;character;Размер пайольной рейки;;;2;40;;0;;;
;21;;187;582;value;0.88х0.40 м;;;;35;;;;;
;21;;187;1016;value;0.79х0.40 м;;;;5;;;;;
;21;;195;;character;Размер сумки со стрингером;;;1;10;;0;;;
;21;;195;591;value;0.35х0.50х0.80 м;;;;10;;;;;
;21;;78;;character;Размер сумки с пайолом;;;6;52;;0;;;
;21;;78;619;value;0.9 х 0.12 х 0.6;;;;22;;;;;
;21;;78;631;value;1.0 х 0.6 х 0.3;;;;5;;;;;
;21;;78;1293;value;10.8 х 0.6 х 0.1;;;;5;;;;;
;21;;78;1296;value;0.9x0.6x0.12;;;;13;;;;;
;21;;78;2647;value;1 х 0,6 х 0,12;;;;5;;;;;
;21;;78;3353;value;0.8x0.6x0.1;;;;2;;;;;
;21;;12;;character;Наличие киля;;;1;41;;0;;;
;21;;12;12;value;есть;;;;41;;;;;
;21;;41;;character;Размер упаковки;;;1;8;;0;;;
;21;;41;3368;value;0.9x0.6x0.12;;;;8;;;;;
2;22;0;;;category;Liman;0;27;188;55;0;14;;;
;22;;6;;character;Тип пайола;;;4;169;;1;15;Тип пайола;30
;22;;6;160;value;НДВД (AirDeck);;;;31;;;;;
;22;;6;126;value;алюминиевый;;;;87;;;;;
;22;;6;6;value;НДНД;;;;39;;;;;
;22;;6;536;value;фанерный: слань;;;;12;;;;;
;22;;77;;character;Вес комплекта;;;23;170;;0;;;
;22;;77;161;value;48.0;;;;14;;;;;
;22;;77;208;value;43.0;;;;19;;;;;
;22;;77;363;value;56.0;;;;28;;;;;
;22;;77;944;value;106.0;;;;2;;;;;
;22;;77;1009;value;61.0;;;;23;;;;;
;22;;77;1018;value;39.0;;;;5;;;;;
;22;;77;1125;value;27.0;;;;5;;;;;
;22;;77;1131;value;24.0;;;;7;;;;;
;22;;77;1137;value;31;;;;6;;;;;
;22;;77;940;value;90.0;;;;1;;;;;
;22;;77;1431;value;29.0;;;;2;;;;;
;22;;77;1337;value;30.0;;;;2;;;;;
;22;;77;1508;value;65.0;;;;7;;;;;
;22;;77;1537;value;23.0;;;;5;;;;;
;22;;77;1480;value;41.0;;;;10;;;;;
;22;;77;1725;value;49.0;;;;6;;;;;
;22;;77;1797;value;69.0;;;;6;;;;;
;22;;77;1801;value;74.0;;;;5;;;;;
;22;;77;1250;value;28.0;;;;3;;;;;
;22;;77;352;value;45.0;;;;1;;;;;
;22;;77;2109;value;71.0;;;;2;;;;;
;22;;77;1318;value;42.0;;;;9;;;;;
;22;;77;954;value;118.0;;;;2;;;;;
;22;;79;;character;Плотность ткани ПВХ на днище;;;5;170;;0;;;
;22;;79;122;value;1300;;;;86;;;;;
;22;;79;935;value;1350;;;;6;;;;;
;22;;79;476;value;1100;;;;27;;;;;
;22;;79;1114;value;800;;;;24;;;;;
;22;;79;157;value;900;;;;27;;;;;
;22;;11;;character;Тип днища;;;2;170;;1;16;Тип днища;30
;22;;11;11;value;килевое;;;;140;;;;;
;22;;11;542;value;плоское;;;;30;;;;;
;22;;84;;character;Толщина транца;;;5;133;;1;17;Толщина транца;30
;22;;84;162;value;25;;;;102;;;;;
;22;;84;932;value;38;;;;16;;;;;
;22;;84;1135;value;35;;;;6;;;;;
;22;;84;188;value;18;;;;8;;;;;
;22;;84;130;value;29;;;;1;;;;;
;22;;44;;character;Ширина кокпита;;;7;164;;1;18;Ширина кокпита;30
;22;;44;163;value;0.69;;;;70;;;;;
;22;;44;50;value;0.8;;;;22;;;;;
;22;;44;487;value;0.9;;;;6;;;;;
;22;;44;1019;value;0.68;;;;33;;;;;
;22;;44;144;value;0.6;;;;16;;;;;
;22;;44;1432;value;0.60;;;;8;;;;;
;22;;44;2191;value;0.61;;;;9;;;;;
;22;;36;;character;Диаметр баллона;;;8;170;;1;19;Диаметр баллона;30
;22;;36;39;value;0.42;;;;103;;;;;
;22;;36;120;value;0.45;;;;22;;;;;
;22;;36;728;value;0.55;;;;4;;;;;
;22;;36;184;value;0.4;;;;16;;;;;
;22;;36;1134;value;42;;;;6;;;;;
;22;;36;485;value;0.5;;;;2;;;;;
;22;;36;1110;value;0.40;;;;8;;;;;
;22;;36;535;value;0.36;;;;9;;;;;
;22;;46;;character;Длина;;;13;170;;1;20;Длина;30
;22;;46;52;value;3.3;;;;37;;;;;
;22;;46;210;value;3.0;;;;61;;;;;
;22;;46;204;value;3.6;;;;11;;;;;
;22;;46;729;value;4.3;;;;2;;;;;
;22;;46;551;value;2.8;;;;17;;;;;
;22;;46;1136;value;2.85;;;;6;;;;;
;22;;46;180;value;3.2;;;;17;;;;;
;22;;46;942;value;3.95;;;;1;;;;;
;22;;46;488;value;4.0;;;;1;;;;;
;22;;46;1802;value;3.5;;;;5;;;;;
;22;;46;297;value;3.4;;;;1;;;;;
;22;;46;2152;value;2.7;;;;9;;;;;
;22;;46;955;value;4.8;;;;2;;;;;
;22;;80;;character;Размер сумки с лодкой;;;13;161;;0;;;
;22;;80;164;value;1.0 х 0.3 х 0.6;;;;85;;;;;
;22;;80;365;value;1.1 х 0.3 х 0.7;;;;5;;;;;
;22;;80;733;value;1.3 х 0.85 х 0.4;;;;3;;;;;
;22;;80;1127;value;0.35 х 0.45 х 0.8;;;;7;;;;;
;22;;80;1130;value;0.37 х 0.6 х 0.82;;;;12;;;;;
;22;;80;1255;value;1.1 х 0.4 х 0.6;;;;8;;;;;
;22;;80;1509;value;1.25 х 0.85 х 0.4;;;;1;;;;;
;22;;80;579;value;0.35 х 0.5 х 0.8;;;;5;;;;;
;22;;80;1726;value;1.1 х 0.68 х 0.4;;;;21;;;;;
;22;;80;1798;value;1.1 х 0.4 х 0.68;;;;6;;;;;
;22;;80;1804;value;1.25 х 0.4 х 0.75;;;;5;;;;;
;22;;80;2066;value;1.1 х 0.4 х 0.65;;;;1;;;;;
;22;;80;956;value;1.35 х 0.85 х 0.4;;;;2;;;;;
;22;;81;;character;Длина весел;;;3;153;;1;21;Длина весел;30
;22;;81;124;value;1.53;;;;129;;;;;
;22;;81;1128;value;1.52;;;;22;;;;;
;22;;81;185;value;1.60;;;;2;;;;;
;22;;37;;character;Высота транца;;;2;140;;0;;;
;22;;37;40;value;0.405;;;;136;;;;;
;22;;37;948;value;0.405/0.50;;;;4;;;;;
;22;;47;;character;Пассажировместимость;;;12;164;;1;22;Пассажировместимость;30
;22;;47;165;value;5;;;;12;;;;;
;22;;47;170;value;4+1;;;;18;;;;;
;22;;47;53;value;4;;;;51;;;;;
;22;;47;74;value;3;;;;26;;;;;
;22;;47;483;value;5+1;;;;10;;;;;
;22;;47;945;value;8;;;;2;;;;;
;22;;47;583;value;2;;;;24;;;;;
;22;;47;939;value;6+1;;;;1;;;;;
;22;;47;484;value;7;;;;1;;;;;
;22;;47;118;value;6;;;;5;;;;;
;22;;47;300;value;3+1;;;;12;;;;;
;22;;47;952;value;9;;;;2;;;;;
;22;;7;;character;Количество упаковочных сумок;;;2;170;;0;;;
;22;;7;7;value;1;;;;83;;;;;
;22;;7;119;value;2;;;;87;;;;;
;22;;38;;character;Плотность ткани ПВХ на баллоне;;;4;170;;0;;;
;22;;38;41;value;1100;;;;113;;;;;
;22;;38;936;value;1350;;;;6;;;;;
;22;;38;1109;value;800;;;;24;;;;;
;22;;38;156;value;900;;;;27;;;;;
;22;;43;;character;Длина кокпита;;;16;164;;1;23;Длина кокпита;30
;22;;43;166;value;2.22;;;;37;;;;;
;22;;43;206;value;1.95;;;;33;;;;;
;22;;43;364;value;2.46;;;;11;;;;;
;22;;43;946;value;3.09;;;;2;;;;;
;22;;43;1021;value;1.7;;;;5;;;;;
;22;;43;1126;value;2.05;;;;12;;;;;
;22;;43;187;value;2.25;;;;12;;;;;
;22;;43;142;value;2.1;;;;17;;;;;
;22;;43;941;value;2.72;;;;1;;;;;
;22;;43;489;value;2.75;;;;1;;;;;
;22;;43;541;value;1.9;;;;10;;;;;
;22;;43;1724;value;1.85;;;;6;;;;;
;22;;43;1803;value;2.36;;;;5;;;;;
;22;;43;1271;value;2.3;;;;1;;;;;
;22;;43;2192;value;1.67;;;;9;;;;;
;22;;43;950;value;3.55;;;;2;;;;;
;22;;48;;character;Максимальная мощность подвесного мотора;;;12;154;;1;24;Максимальная мощность подвесного мотора;30
;22;;48;54;value;15;;;;32;;;;;
;22;;48;209;value;10;;;;49;;;;;
;22;;48;732;value;40;;;;4;;;;;
;22;;48;1011;value;18;;;;9;;;;;
;22;;48;149;value;6;;;;5;;;;;
;22;;48;1133;value;3,5;;;;6;;;;;
;22;;48;1256;value;12;;;;11;;;;;
;22;;48;115;value;30;;;;2;;;;;
;22;;48;595;value;3.5;;;;8;;;;;
;22;;48;471;value;20;;;;14;;;;;
;22;;48;202;value;25;;;;5;;;;;
;22;;48;305;value;5;;;;9;;;;;
;22;;10;;character;Вид транца;;;3;149;;0;;;
;22;;10;10;value;стационарный;;;;119;;;;;
;22;;10;371;value;нет;;;;16;;;;;
;22;;10;552;value;навесной;;;;14;;;;;
;22;;45;;character;Ширина;;;7;164;;1;25;Ширина;30
;22;;45;167;value;1.56;;;;70;;;;;
